"mirna","log2FC","avg_expr","t_stat","p_value","fdr","B_stat","significant"
"hsa-miR-6805-5p",-0.829352158315066,11.1758364730542,-11.0061825263923,8.85183322620762e-28,2.2438367945503e-27,51.6128010402536,TRUE
"hsa-miR-548q",0.377624325033665,8.12541677798391,11.0054780791691,8.91925258547452e-28,2.25045956439056e-27,51.2979493367743,FALSE
"hsa-miR-6785-5p",-0.431035398452002,10.1020540988741,-10.8528834295489,4.56588923890296e-27,1.14673255078439e-26,49.7380466590381,FALSE
"hsa-miR-423-5p",0.407047524788089,8.97908350614807,10.8212062986707,6.39142030531616e-27,1.59785507632904e-26,49.2160774795718,FALSE
"hsa-miR-3679-3p",0.297991563204686,8.73406733488257,10.793014271961,8.61520615905586e-27,2.14396682953673e-26,48.9397467467201,FALSE
"hsa-miR-4258",0.663486795842616,8.90392929318218,10.7526533736214,1.32075648419837e-26,3.27187401767324e-26,48.4806018173529,TRUE
"hsa-miR-675-3p",-0.320956665683287,8.25641911769782,-10.6448835947639,4.08724462914188e-26,1.00794041759381e-25,47.5889259652419,FALSE
"hsa-miR-3917",0.302854516914982,8.47559613483759,10.570949666385,8.82404269638387e-26,2.16626273402217e-25,46.6620990882251,FALSE
"hsa-miR-2276-3p",-0.325818723267864,8.08011362737276,-10.5498372772771,1.09828317482069e-25,2.68414497882186e-25,46.6537463333184,FALSE
"hsa-miR-4492",-0.648397695948796,10.7171426956389,-10.5274880701522,1.38400224052628e-25,3.36732687985188e-25,46.5026387344666,TRUE
"hsa-miR-4449",-0.324730827119208,8.95026352195565,-10.4690579567725,2.52782916757318e-25,6.12296398367727e-25,45.6486481896497,FALSE
"hsa-miR-4638-5p",0.422284805249492,8.06534714809589,10.4679903970471,2.55572987437221e-25,6.16315390058785e-25,45.7049905852242,FALSE
"hsa-miR-7704",1.67876919183503,11.2305745924693,10.438312870205,3.4694017782238e-25,8.32962100939195e-25,45.8999868247028,TRUE
"hsa-miR-3122",-0.262117929230278,8.34689259890728,-10.3762883037494,6.53622354765393e-25,1.5623867690664e-24,44.8058832101936,FALSE
"hsa-miR-4725-3p",0.742279078039696,9.69629160174952,10.3327398042477,1.01906839333103e-24,2.42529377452146e-24,44.2927182691489,TRUE
"hsa-miR-1207-5p",0.397518288559052,8.98318481093421,10.3293698533055,1.05363210841362e-24,2.49664999602357e-24,44.1671649155623,FALSE
"hsa-miR-1470",0.342215144636326,8.23054613002773,10.2785360493398,1.76347159681484e-24,4.16057151629475e-24,43.7488576134384,FALSE
"hsa-miR-2861",1.31778228105569,10.9374071850307,10.2696957836005,1.92969761500489e-24,4.53312586283477e-24,44.0952284244972,TRUE
"hsa-miR-328-3p",0.220292021369406,8.52810145238039,10.2470178083169,2.42403849161779e-24,5.6699612786768e-24,43.3746446994724,FALSE
"hsa-miR-7160-5p",0.307184806511416,8.10345741528187,10.2427097378768,2.53159792912589e-24,5.89624304005817e-24,43.4268557658773,FALSE
"hsa-miR-6761-3p",0.241514154973117,8.28334665741945,10.2362411131042,2.70204284444998e-24,6.26643978819251e-24,43.3206591554494,FALSE
"hsa-miR-370-3p",0.20416611291294,8.69486666678243,10.2355683138612,2.72041078434596e-24,6.2823045655447e-24,43.2412197877524,FALSE
"hsa-miR-572",-0.320390877645372,8.05624342006396,-10.2324351337903,2.80759205495806e-24,6.45627708840566e-24,43.4447523897279,FALSE
"hsa-miR-6851-5p",-0.252632341773122,8.85897049036553,-10.2192537558638,3.20571928701812e-24,7.34082777909611e-24,43.1329367701474,FALSE
"hsa-miR-4750-5p",0.303811398358443,8.59614342981165,10.1934149276867,4.1554567200385e-24,9.47583226954385e-24,42.8392532966607,FALSE
"hsa-miR-3621",1.03698527006397,10.6008680254312,10.117866410951,8.84816427295963e-24,2.00927063698458e-23,42.4556477663963,TRUE
"hsa-miR-6790-3p",0.359476501464268,8.07607933078314,10.0379474098553,1.95461526268665e-23,4.4201880421752e-23,41.3978273423314,FALSE
"hsa-miR-4483",-0.391965402169896,8.05688141853271,-10.0149467130584,2.45317184072377e-23,5.52470517848947e-23,41.3327348866597,FALSE
"hsa-miR-4429",0.295771696329108,8.66523838068083,9.97540067681794,3.62139769383477e-23,8.12206478658416e-23,40.6793625085358,FALSE
"hsa-miR-6895-5p",0.373435370115372,8.2181026780535,9.9667634405437,3.94218307667436e-23,8.80528597044069e-23,40.6667062381168,FALSE
"hsa-miR-550a-5p",-0.297757418843679,8.67571298724284,-9.85645090492931,1.15848467692243e-22,2.57703734254174e-22,39.6425701510697,FALSE
"hsa-miR-4459",0.649214908722486,9.82954985308803,9.85114155553175,1.22039320471089e-22,2.70371665271315e-22,39.5950499723592,TRUE
"hsa-miR-1247-3p",0.227324171022696,8.88169113000734,9.78502496712698,2.31429939766372e-22,5.10645008796245e-22,38.8353801959512,FALSE
"hsa-miR-3162-5p",-0.213130328045555,9.54895420862103,-9.75823907211044,2.99637901618636e-22,6.58478453153857e-22,38.6440783636678,FALSE
"hsa-miR-6894-3p",0.349633391182254,8.1614128411622,9.73575877177209,3.71981061523995e-22,8.14175415785451e-22,38.4635311882891,FALSE
"hsa-miR-5010-5p",-0.488970482711307,8.04762623757367,-9.71466189432317,4.55492107122845e-22,9.92972793527802e-22,38.4760033872301,FALSE
