"mirna","log2FC","logCPM","p_value","fdr","significant"
"hsa-miR-8052",-0.100138498133096,8.45938055618967,0.000185124313082372,0.000235181236899517,FALSE
"hsa-miR-1237-5p",0.351465247221226,12.7210012863693,0.000194895862535359,0.000247019174608768,FALSE
"hsa-miR-765",0.0791267888442385,8.30878670648557,0.000218940883016161,0.000276851000565679,FALSE
"hsa-miR-1273e",0.0898200502202947,8.51111185395048,0.000260106626052381,0.000328143775922565,FALSE
"hsa-miR-3173-3p",-0.0828238993555919,8.32562864560474,0.000264044896352019,0.000332342883399193,FALSE
"hsa-miR-4448",0.122032047314819,8.80113378314092,0.00027725086582988,0.000348160649486831,FALSE
"hsa-miR-4648",-0.0989111008708283,8.54630486574218,0.000291742624994561,0.000365516622119623,FALSE
"hsa-miR-7112-5p",0.0745087689081473,8.63846328699974,0.000319633091118075,0.000399541363897593,FALSE
"hsa-miR-4632-5p",0.118262823272406,10.4893719761495,0.000345429812017224,0.000430799193476858,FALSE
"hsa-miR-4487",-0.088602906252985,8.30060110204642,0.000351066913968842,0.000436829835874473,FALSE
"hsa-miR-6794-5p",-0.095457649856243,10.1966445943102,0.000355269154062222,0.000441051683289091,FALSE
"hsa-miR-4728-5p",0.0949095534615406,9.51527499235736,0.00046174279816763,0.000571931420457632,FALSE
"hsa-miR-6822-5p",0.0942161418940504,8.38976899238062,0.000491861474677053,0.000607856017458036,FALSE
"hsa-miR-5088-5p",0.0810450343258616,8.27567349652101,0.000642916281666006,0.000792736139158311,FALSE
"hsa-miR-342-5p",0.0932941762801982,8.37730910351964,0.00076134239493419,0.000936640192413394,FALSE
"hsa-miR-4685-3p",-0.0870950710251113,8.44709223868396,0.000791050902732348,0.000970997166642184,FALSE
"hsa-miR-4738-3p",0.0942448225466655,8.32635998939135,0.000838782090220851,0.00102727244757385,FALSE
"hsa-miR-2861",-0.259559477392682,13.0961134054156,0.000841815635321876,0.0010286760566153,FALSE
"hsa-miR-4792",-0.0824256278276428,8.80958800947369,0.00125120708450163,0.00152552094195389,FALSE
"hsa-miR-30b-3p",0.0815961266005244,8.31483039859331,0.0014000181936641,0.00170314713291727,FALSE
"hsa-miR-3918",-0.0685190854721586,8.60401967241727,0.0016105255928285,0.00195486959485865,FALSE
"hsa-miR-4463",-0.22193256473129,11.6144509465456,0.00193860965168087,0.00234787168925795,FALSE
"hsa-miR-5195-3p",0.0885447674526319,8.87323837527004,0.00204835367741994,0.00247528326872255,FALSE
"hsa-miR-6511a-3p",0.0791236383621663,8.36352133176259,0.00207306575199969,0.00249960361690228,FALSE
"hsa-miR-6858-3p",0.0727839527894552,8.4341841863856,0.00238242582585502,0.0028662738964481,FALSE
