mirna,mean_cancer,mean_healthy,log2FC,se,t_stat,df_welch,p_value,rank,fdr_bh,significant
hsa-miR-4730,4.4055,6.7381,-2.3326,0.070033,-33.3075,3678.7,7.753225739313625e-213,182,2.3217077076516074e-212,True
hsa-miR-5739,4.4211,5.682,-1.261,0.036815,-34.2515,2614.2,1.0131914883990567e-212,183,3.0174282031556605e-212,True
hsa-miR-642a-3p,4.9506,6.2634,-1.3128,0.039263,-33.4366,3439.6,1.695029916245666e-212,184,5.020604914966782e-212,True
hsa-miR-5010-5p,2.8497,4.8354,-1.9857,0.056949,-34.8679,2201.6,1.7893543364317747e-212,185,5.271341153271985e-212,True
hsa-miR-765,3.4826,4.688,-1.2054,0.035161,-34.2822,2570.4,1.9141545530019843e-212,186,5.608678663366029e-212,True
hsa-miR-3937,4.8057,6.6028,-1.7972,0.052843,-34.0097,2771.0,3.515042410750881e-212,187,1.0244374940423692e-211,True
hsa-miR-873-3p,3.5188,4.7664,-1.2476,0.036384,-34.2892,2531.4,5.603280773127957e-212,188,1.6243553305078387e-211,True
hsa-miR-3648,6.7082,10.092,-3.3837,0.096015,-35.242,1992.7,6.862797930406458e-212,189,1.9789549587679998e-211,True
hsa-miR-422a,4.4705,5.573,-1.1025,0.031751,-34.7249,2169.4,1.7204496791558993e-210,190,4.9349740796840265e-210,True
hsa-miR-208a-5p,3.5989,4.919,-1.3201,0.038687,-34.1237,2501.5,7.027535362539915e-210,191,2.005239147949871e-209,True
hsa-miR-6511b-3p,3.4211,4.7502,-1.3291,0.03922,-33.8882,2592.3,1.0362974101144042e-208,192,2.941573377668491e-208,True
hsa-miR-6769b-5p,3.7285,5.3581,-1.6297,0.048142,-33.8507,2523.1,2.0508041230201294e-207,193,5.791130813709692e-207,True
hsa-miR-6782-5p,4.0655,5.3805,-1.315,0.038903,-33.8029,2555.2,2.3409125581893628e-207,194,6.576274970171148e-207,True
hsa-miR-6877-3p,3.7254,4.947,-1.2216,0.036,-33.934,2453.1,2.7848246725863658e-207,195,7.783227931074715e-207,True
hsa-miR-6860,3.5672,4.8182,-1.251,0.0376,-33.2718,2988.3,8.988680441762374e-207,196,2.499403490183925e-206,True
hsa-miR-6749-3p,3.7864,4.9462,-1.1598,0.034447,-33.6699,2596.7,1.5293796966950308e-206,197,4.231025049232446e-206,True
hsa-miR-7109-3p,3.5144,4.8173,-1.3029,0.038388,-33.9406,2359.4,5.661983999980798e-206,198,1.5584753939341086e-205,True
hsa-miR-1273e,3.6944,4.8848,-1.1904,0.035174,-33.8426,2401.8,1.2522521707763225e-205,199,3.429534839563295e-205,True
hsa-miR-6809-3p,3.5007,4.6694,-1.1686,0.03451,-33.8623,2344.2,5.725640876509483e-205,200,1.560237138848834e-204,True
hsa-miR-345-3p,3.5778,4.9348,-1.357,0.040313,-33.6613,2458.6,1.2619388696821047e-204,201,3.4216750446604336e-204,True
hsa-miR-6511a-5p,4.3167,5.7788,-1.4621,0.043549,-33.5746,2417.9,3.4271010050072966e-203,202,9.246386374895924e-203,True
hsa-miR-8052,3.3978,4.8116,-1.4138,0.041652,-33.9442,2162.8,7.907208521314268e-203,203,2.122871253259249e-202,True
